id,news
3,آخرین آمار کرونا در ایران، ۱۳ آذر ۱۴۰۰: فوت ۵۸ نفر در شبانه روز گذشتهآخرین آمار کرونا در ایران، ۱۳ آذر ۱۴۰۰: فوت ۵۸ نفر در شبانه روز گذشتهبنابر اعلام وزارت بهداشت، طی ۲۴ ساعت گذشته متاسفانه ۵۸ بیمار کووید-۱۹ به دلیل این بیماری در کشور جان خود را از دست دادند. همچنین در این بازه زمانی ۲هزار و ۱۵۷ مبتلا به این بیماری شناسایی شدند.
22,حق الزحمه دانشجویان واکسیناتور تعیین شدبه گزارش خبرنگار مهر، دکتر کمال حیدری معاون بهداشتی وزارت بهداشت در نامه‌ای به دکتر عباس شیراوژن معاون فرهنگی و دانشجویی وزارت بهداشت موضوع مشارکت دانشجویان در طرح واکسیناسیون کشوری را پاسخ داده است.در این نامه آمده است: «در راستای گام پنجم طرح شهید سلیمانی مبتنی بر واکسیناسیون عمومی، پایگاه‌های تجمیعی واکسیناسیون جهت تسهیل و تسریع در روند واکسیناسیون کووید - ۱۹ راه اندازی و مقرر شد دانشگاه‌های علوم پزشکی از همه امکانات دانشگاه در این راستا استفاده کنند.یکی از نکات راهبردی بهره‌گیری از نیروهای دانشجو در رشته‌های مرتبط با این موضوع بود که خوشبختانه با حضور همه جانبه دانشجویان و فعالیت‌های بی شائبه آنان، شاهد پیشرفت‌های زیادی در عملکرد پایگاه‌های تجمیعی در امر واکسیناسیون بوده و هستیم که نقش دانشجویان در رسیدن به اهداف غیر قابل انکار است و باید به نحو مقتضی از آنان تقدیر شود.با توجه به اینکه حضور دانشجویان بر اساس کار دانشجویی معمولاً صورت می‌پذیرد و حق الزحمه در نظر گرفته برای آنان پاسخگوی زحمات و همچنین هزینه‌های ایاب و ذهاب را نخواهد کرد، بنابراین با بررسی‌های صورت گرفته مبلغ حق الزحمه دانشجویان به صورت ساعتی ۱۵۰ هزار ریال (۱۵ هزار تومان) تعیین می‌شود.امید است با مساعدت‌های معاونت فرهنگی و دانشجویی وزارت بهداشت و با تخصیص اعتبارات مربوط از سوی سازمان برنامه و بودجه به زودی جبران حداقلی زحمات دانشجویان صورت پذیرد.»پیش از این دکتر حمیدرضا اشراقی مدیرکل دانشجویی وزارت بهداشت در گفتگو با خبرنگار مهر درباره کار دانشجویی دانشجویان علوم پزشکی در حوزه واکسیناسیون گفته بود: دانشجویان علوم پزشکی که به عنوان واکسیناتور در واکسیناسیون کرونا همکاری کرده‌اند یک حق الزحمه تحت عنوان کار دانشجویی دریافت می‌کنند که در حال هماهنگی با معاونت بهداشتی برای تعیین آن هستیم.
24,متوسط قیمت هر متر مسکن در تهران متری ۳۲ میلیون تومان شدبه گزارش خبرنگار مهر، بانک مرکزی آمار معاملات مسکن در شهر تهران طی آبان ماه سال جاری را اعلام کرد که بر اساس آن تعداد معاملات مسکن در ماه مذکور هفت هزار و ۳۰۴ فقره معامله بود که نسبت به ماه قبل از آن (مهر ۱۴۰۰) که تعداد معاملات پنج هزار و ۴۷۱ فقره بود، رشد ۳۳.۵ درصدی و نسبت به ماه مشابه سال قبل از آن (آبان ۱۳۹۹) که تعداد معاملات چهار و ۴۶۶ فقره بود رشد ۶۳.۵ درصدی را نشان می‌دهد.متوسط قیمت هر مترمربع واحد مسکونی در آبان ماه امسال ۳۲ میلیون و ۹۰ هزار تومان برآورد شده که نسبت به مهرماه امسال رشد ۱.۲ درصدی و نسبت به آبان ۱۳۹۹ رشد ۱۷.۷ درصدی داشته است.بیشترین تعداد معاملات مسکن در آبان ماه به منطقه ۵ تهران با هزار و ۱۱ فقره و کمترین تعداد معاملات نیز به منطقه ۱۹ با ۵۶ فقره اختصاص داشته است.گران‌ترین منطقه پایتخت نیز مانند سالهای اخیر منطقه یک با متوسط متری ۷۲ میلیون و ۷۴۹ هزار و ۹۰۰ تومان است و ارزان‌ترین منطقه پایتخت نیز به منطقه ۱۸ با متوسط متری ۱۴ میلیون و ۵۱۹ هزار و ۹۰۰ تومان اختصاص دارد.اجاره بهای مسکن در آبانبراساس این گزارش متوسط اجاره بهای مسکن در شهر تهران طی آبان امسال نسبت به آبان سال گذشته، رشد ۵۱.۶ درصدی و در کل کشور افزایش ۵۴.۹ درصدی داشته است.
40,به گزارش خبرگزاری مهر، حمیدرضا جماعتی اظهار داشت: در پنجاه و یکمین جلسه کمیته علمی کشوری کرونا، در مورد آخرین وضعیت واکسیناسیون در کشور و لزوم تصمیم گیری سریع در مورد تزریق دوز اضافه و یادآور واکسن کرونا بحث و بررسی شد.وی افزود: مواردی از واریانت اومیکرون در کشورهای مختلف شناسایی شده و به دلیل سرایت بالای این نوع جهش، نگرانی‌هایی وجود دارد و در مطالعات مختلف نشان داده شده که در کشورهای آفریقایی، میزان واکسیناسیون خیلی پایین و کمتر از ۴۰ درصد بوده، این جهش در کرونا رخ داده البته جهش‌های متعددی در کرونا ایجاد شده و شاید بیش از ۵۰ نوع جهش ایجاد و باعث به وجود آمدن جهش اومیکرون شده باشد.دبیر کمیته علمی کشوری کرونا تصریح کرد: مهم‌ترین راه مقابله با واریانت های جدید ویروس از جمله اومیکرون، واکسیناسیون، رعایت پروتکل‌های بهداشتی و محدودیت در مبادی مرزی کشورها به ویژه کشورهایی است که با کشورهای آفریقایی رفت و آمد و داد و ستد دارند. در حال حاضر برخی کشورهای اروپایی، محدودیت‌هایی را در مرزهای خود ایجاد کرده‌اند و این موارد در کمیته علمی بررسی و بر افزایش پوشش واکسیناسیون، لزوم رعایت بیشتر پروتکل‌های بهداشتی و تزریق دوز اضافه یا یادآور تاکید شد.جماعتی یادآور شد: تا کنون حدود ۸۵ درصد از جمعیت هدف واکسیناسیون، دوز اول و حدود ۷۰ درصد نیز دوز دوم واکسن کرونا را تزریق کرده‌اند. افرادی که واکسن نمی‌زنند باعث افزایش ویروس در گردش در جامعه می‌شوند و موج اپیدمی‌ها، پاندمی ها و موج‌های کرونا از افراد غیر واکسینه ایجاد می‌شوند.وی خاطرنشان کرد: مطالعاتی که در دنیا و ایران انجام شده نشان داده افرادی که واکسن تزریق کرده‌اند، نسبت به واکسن نزده‌ها، خیلی ایمن تر بوده‌اند و میزان بستری در بیمارستان و مرگ و میر غیر واکسینه ها خیلی بیشتر از افرادی بوده که واکسن تزریق کرده‌اند بنابراین توصیه می‌شود که حتماً، واکسیناسیون با پوشش بالا انجام شود. مطالعات هم نشان داده‌اند که تزریق واکسن کرونا در کنار رعایت پروتکل‌های بهداشتی از مهم‌ترین روش‌های کاهش بستری در بیمارستان و مرگ و میر بیماران کرونایی شود.دبیر کمیته علمی کشوری کووید ۱۹ ادامه داد: ستاد ملی مقابله با کرونا و قرارگاه اجرایی این ستاد می‌توانند در خصوص افرادی که واکسن تزریق نکرده‌اند، تصمیم گیری کرده و محدودیت‌هایی را اعمال کنند چون این افراد می‌توانند منشأ ایجاد موج‌های بیماری در کشور شوند.
49,"دز یادآور واکسن پاستوکووک یا دز سوم این واکسن در کوبا با عنوان «سوبرانا پلاس» و در ایران به عنوان «پاستوکووک پلاس» نامگذاری شده است.دکتر علیرضا بیگلری روز دوشنبه در گفت و گو با خبرنگار گروه علم و آموزش ایرنا اظهار داشت: در حال حاضر طبق مصوبه وزارت بهداشت، دز سوم واکسن این مجموعه یا پاستوکووک پلاس را می توان به عنوان یادآور برخی از واکسن های دیگر در کشور تزریق کرد.وی در پاسخ به این سوال که آیا پاستوکووک پلاس را می توان به عنوان دز یادآور همه واکسن ها استفاده کرد، بیان کرد: از لحاظ تئوری، واکسن پاستوکووک پلاس را می توان برای همه واکسن ها استفاده کرد اما فعلا به عنوان دز یادآوز برخی از واکسن ها در نظر گرفته شده است. بیگلری ادامه داد: پاستوکووک پلاس طوری طراحی شده است که عوارض بسیار کمی داشته باشد و برای خیلی از واکسن های دیگر هم به عنوان دز بوستر بتوان از آن استفاده کرد.وی اظهار داشت: مطالعاتی در حال انجام هست که به غیر از دز یادآور یعنی واکسن پاستوکووک پلاس، خود واکسن پاستوکووک هم برای واکسن های دیگر مخصوصا برای واکسن هایی که عملکرد ضعیف تر داشتند، به عنوان دز یادآور تزریق شود.  پاستوکووک پلاس تنها واکسن در دنیا است که به عنوان دز یادآور تولید شده استرییس انستیتو پاستور ایران تاکید کرد که پاستوکووک پلاس تنها واکسن کرونا در دنیا است که با هدف استفاده به عنوان دز یادآور طراحی و تولید شده است.بیگلری با اشاره به اینکه در حال حاضر هیچ واکسن دیگری در دنیا وجود ندارد که مختص دز یادآور طراحی و تولید شده باشد، افزود: پیش بینی می شد که در آینده به دز یادآور واکسن کرونا نیاز مبرم پیدا می کنیم؛ بنابراین اقدام به تولید دز یادآور شده است.به گزارش ایرنا، واکسن کرونای مشترک انستیتو فینلای کوبا و انستیتو پاستور ایران در کوبا به عنوان ""سوبرانا۲"" و در ایران به عنوان ""پاستوکووک""، نامگذاری شده است.مطالعه کارآزمایی بالینی فاز سوم واکسن مشترک انستیتو پاستور ایران و انستیتو فینلای کوبا از ششم اردیبهشت ماه امسال در هشت شهر و با حضور ۲۴ هزار داوطلب آغاز شده و چند مدتی است که این مرحله واکسن پاستوکووک به اتمام رسید.مجوز مصرف اضطراری این واکسن اوایل تیر ۱۴۰۰ نیز در ایران صادر شد. مطالعه واکسن سوبرانا ۲ در کوبا روی کودکان انجام شده و این کشور مجوز مصرف اضطراری برای کودکان را صادر کرد.در حال حاضر واکسن پاستوکووک در مراکز تجمیعی واکسیناسیون به افراد بالای ۱۸ سال تزریق می شود."
50,تهران- ایرنا- نتایج یک مطالعه جدید نشان می‌دهد، افرادی که برای دومین بار به کرونا مبتلا می شوند، نسبت به بار اول ابتلا به این بیماری ۹۰ درصد کمتر احتمال دارد که در بیمارستان بستری شوند یا بر اثر ابتلا به این بیماری جان خود را از دست بدهند.به گزارش روز دوشنبه گروه علم و آموزش ایرنا از روزنامه دیلی میل، محققان در این مطالعه امواج همه گیری کرونا را که در بهار ۲۰۲۰ به قطر رسید و همچنین دو موج پشت سر هم در بهار و زمستان ۲۰۲۱ را بررسی کردند. آنها دریافتند بیمارانی که برای بار دوم به کووید مبتلا شده‌اند، نسبت به عفونت‌های اولیه ۹۰ درصد کمتر در معرض خطر ابتلا به بیماری شدید کرونا یا مرگ ناشی از این بیماری قرار دارند.یافته های این مطالعه که با همکاری محققان وزارت بهداشت عمومی و کالج پزشکی وایل کرنل قطر انجام شد، شواهدی را ارائه می‌دهند که عفونت مجدد به کرونا نادر و حتی ابتلای دوباره به وضعیت شدید این بیماری نادرتر است.محققان در این مطالعه که در نشریه پزشکی نیوانگلند منتشر شد، بیش از ۳۵۳ هزار نفر را که بین ۲۸ فوریه ۲۰۲۰ تا ۲۸ آوریل ۲۰۲۱ به کووید-۱۹ آلوده شده بودند، بررسی کردند. محققان هزار و ۳۰۰ نفر را شناسایی کردند که مجدد به کووید-۱۹ آلوده شده بودند و آنها را بر اساس فاکتورهایی از جمله جنسیت، سن و ملیت با پنج عفونت اولیه مقایسه کردند.محققان هزار و ۳۰۰ نفر را شناسایی کردند که دوباره به کووید-۱۹ آلوده شده بودند. آنها وضعیت بیماری این افراد را با عفونت اولیه مقایسه کردند. در نتیجه این بررسی دریافتند که تنها چهار نفر، یعنی ۰.۳ درصد افرادی که دوباره به کرونا مبتلا شده بودند، به شدت بیمار شدند؛ این در حالی است که این رقم در عفونت اولیه ۲.۵ درصد بود. به علاوه ۰.۴ درصد افرادی که برای اولین بار به کرونا مبتلا شده بودند، به وضعیت بسیار وخیم این بیماری مبتلا شدند و ۰.۱ درصد از افراد این گروه جان خود را بر اثر کرونا از دست دادند. اما در مقایسه، هیچ فردی در گروه عفونت مجدد فوت نکرد.به طور کلی، ۳.۱ درصد از افرادی که برای اولین بار به عفونت کرونا مبتلا شده بودند، به بیماری شدید، بحرانی یا کشنده ناشی از کووید-۱۹ مبتلا شدند؛ در حالی که این میزان در گروه عفونت مجدد تنها ۰.۳ درصد بود.محققان می گویند این به معنای کاهش ۹۰ درصدی احتمال بستری شدن در بیمارستان، پایان دادن به بخش مراقبت های ویژه یا مرگ با عفونت مجدد در مقایسه با عفونت اولیه است.به گزارش ایرنا، ویروس کرونا موسوم به «کووید۱۹» اواسط ماه دسامبر ۲۰۱۹ (۲۴ آذر ۱۳۹۸) در شهر ووهان واقع در مرکز چین گزارش شد.  ابتدا از این بیماری به عنوان ذات الریه نام برده می شد اما کمیسیون ملی بهداشت چین ۳۰ دسامبر سال ۲۰۱۹ (۹ دی ماه ۹۸) به صورت رسمی شیوع این ویروس را در چین اعلام کرد.شمار مبتلایان به بیماری کووید-۱۹ در جهان تاکنون به بیش از ۲۶۱ میلیون نفر رسیده و مرگ بیش از پنج میلیون و ۲۰۰ نفر بر اثر ابتلا به این بیماری تایید شده است.
67,استاندار چهارمحال و بختیاری گفت: باید تمام توان مجموعه مدیریتی در راستای خدمت به مردم به‌کار گرفته شود و همچنین برنامه ۱۴۰۱ نیز از هم‌اکنون باید مورد توجه قرار بگیرد.
75,فارس نوشت:عضو هیات رئیسه مجلس گفت: قانون منع بکارگیری دو تابعیتی‌ها باید جدی گرفته شود و اگر مدیر دو تابعیتی از دولت قبل در بدنه دولت و شرکت‌های زیر تابعه باقی مانده باید برکنار شوند.
86,دانشمندان آفریقای جنوبی اعلام کردند که یک نوع جدید نگران‌کننده ازویروس کرونا موسوم به «اومیکرون» را شناسایی کرده‌اند، جهان مشتاقانه منتظر سرنخ‌هایی در مورد چگونگی تغییر مسیر همه‌گیری این بیماری است اما یک معمای بزرگ این است که اومیکرون کجا و چگونه تکامل یافته است.
92,سرمربی رایکای بابل معتقد است اگر سیستم کمک داور ویدئویی در ایران اجرا شود، بسیاری از مربیان کشورمان نمی‌توانند به فعالیت خود ادامه دهند.پیروز قربانی در گفت‌وگو با خبرنگار ورزشی خبرگزاری تسنیم، درباره شرایط تیم فوتبال رایکای بابل اظهار داشت: کارت بازی برخی بازیکنان تا هفته هفتم صادر نشده بود و هفته‌های ابتدایی را به شناخت تیم اختصاص دادیم. آنها از دیدار مقابل قشقایی به تیم ما اضافه شدند و دست ما بازتر می‌شود. رایکا 80 تا 90 درصد نسبت به فصل گذشته تغییر کرده است و عمده نفرات ما را بازیکنان زیر 23 سال تشکیل می‌دهند. تیم برای رسیدن به ثبات به زمان نیاز دارد.
