id,news
21,ثبت‌نام نهضت ملی مسکن تا پایان آذر تمدید شدثبت‌نام نهضت ملی مسکن تا پایان آذر تمدید شدمعاون وزیر راه و شهرسازی از تمدید مهلت ثبت‌نام طرح نهضت ملی مسکن تا پایان آذرماه امسال خبر داد.
25,متوسط قیمت هر متر مسکن در تهران متری ۳۲ میلیون تومان شدبه گزارش خبرنگار مهر، بانک مرکزی آمار معاملات مسکن در شهر تهران طی آبان ماه سال جاری را اعلام کرد که بر اساس آن تعداد معاملات مسکن در ماه مذکور هفت هزار و ۳۰۴ فقره معامله بود که نسبت به ماه قبل از آن (مهر ۱۴۰۰) که تعداد معاملات پنج هزار و ۴۷۱ فقره بود، رشد ۳۳.۵ درصدی و نسبت به ماه مشابه سال قبل از آن (آبان ۱۳۹۹) که تعداد معاملات چهار و ۴۶۶ فقره بود رشد ۶۳.۵ درصدی را نشان می‌دهد.متوسط قیمت هر مترمربع واحد مسکونی در آبان ماه امسال ۳۲ میلیون و ۹۰ هزار تومان برآورد شده که نسبت به مهرماه امسال رشد ۱.۲ درصدی و نسبت به آبان ۱۳۹۹ رشد ۱۷.۷ درصدی داشته است.بیشترین تعداد معاملات مسکن در آبان ماه به منطقه ۵ تهران با هزار و ۱۱ فقره و کمترین تعداد معاملات نیز به منطقه ۱۹ با ۵۶ فقره اختصاص داشته است.گران‌ترین منطقه پایتخت نیز مانند سالهای اخیر منطقه یک با متوسط متری ۷۲ میلیون و ۷۴۹ هزار و ۹۰۰ تومان است و ارزان‌ترین منطقه پایتخت نیز به منطقه ۱۸ با متوسط متری ۱۴ میلیون و ۵۱۹ هزار و ۹۰۰ تومان اختصاص دارد.اجاره بهای مسکن در آبانبراساس این گزارش متوسط اجاره بهای مسکن در شهر تهران طی آبان امسال نسبت به آبان سال گذشته، رشد ۵۱.۶ درصدی و در کل کشور افزایش ۵۴.۹ درصدی داشته است.
45,به گزارش خبرگزاری مهر به نقل از وزارت علوم مسعود گنجی رئیس صندوق رفاه دانشجویان وزارت علوم، تحقیقات و فناوری در حاشیه افتتاح خوابگاه دانشجویی دانشگاه سمنان گفت: وام ودیعه مسکن متاهلی نیز با افزایش ۳۰ درصدی در تهران به ۳۲ میلیون و ۵۰۰ هزار تومان رسیده و این رقم در سایر کلان شهرها ۲۶ میلیون تومان و در سایر شهرها به ۱۹ میلیون و ۵۰۰ هزار تومان افزایش یافته است.وی با بیان اینکه به دلیل شرایط کرونایی نمی‌توانیم از حداکثر ظرفیت خوابگاه‌ها استفاده کنیم افزود: برای سکونت دانشجویان در خارج از خوابگاه‌های ملکی دانشگاه‌های کشور، مبلغ تسهیلات ودیعه مسکن دانشجویان به ۲ برابر افزایش یافت و با ثبت نام گروهی دانشجویان متقاضی و نیاز اعلامی از سوی دانشگاه‌ها، تسهیلات مورد نیاز تهیه خوابگاه اعطا می‌شود.رئیس صندوق رفاه دانشجویان وزارت علوم، تحقیقات و فناوری اظهار داشت: خبرهای خوبی برای دانشجویان متأهل و ازدواج‌های دانشجویی در راه است.وی یادآور شد: سرای دانشجویی فرزانگان چهار دانشگاه سمنان با ۲۰۰ میلیارد ریال هزینه و ظرفیت ۲۵۰ دانشجو در چهار طبقه با حضور رئیس صندوق رفاه دانشجویان وزارت علوم، تحقیقات و فناوری به بهره برداری رسید.کد خبر 5362653
77,ایسنا نوشت: امام جمعه قم می گوید مردم باید مراقب حیله های و سواستفاده دشمن باشند.
102,بانک مرکزی: اعتبار وام ودیعه مسکن تمام شد/ وزارت راه: قبول نداریمبانک مرکزی: اعتبار وام ودیعه مسکن تمام شد/ وزارت راه: قبول نداریمثبت نام وام ودیعه مسکن در حالی ادامه دارد که بانک مرکزی از اتمام اعتبار بانک‌ها خبر می دهد ولی معاون مسکن وزارت راه و شهرسازی این اتمام اعتبار را قبول ندارد.به گزارش خبرگزاری مهر، شهرزاد دانشمندی مدیر اداره اعتبارات بانک مرکزی می‌گوید: به نیمی از متقاضیان تسهیلات ودیعه مسکن، وامی پرداخت نخواهد شد.بانک مرکزی: تا کنون ۱۳ هزار میلیارد تومان وام ودیعه داده ایموی با اعلام اینکه سامانه ثبت نام تسهیلات ودیعه مسکن از سوی وزارت راه و شهرسازی اداره می‌شود، افزود: تاکنون حدود ۱۳۰ هزار میلیارد ریال، بیش از سهمیه تعیین شده ستاد کرونا، ثبت نام تسهیلات ودیعه مسکن انجام شده است و بانک‌ها هیچ تعهدی برای پرداخت تسهیلات بیش از سهمیه‌های تعیین شده از سوی ستاد کرونا ندارند.وی علت سخت گیری بانک‌ها برای پرداخت تسهیلات ودیعه مسکن را پُر شدن سهمیه تعیین شده عنوان کرد و گفت: تعداد افراد در صف مانده، دو برابر سهمیه تعیین شده است و متقاضیانی که موفق به اخذ تسهیلات نشده اند ناراضی خواهند شد.مدیر اداره اعتبارات بانک مرکزی افزود: باوجود اینکه سهمیه تسهیلات ۱۲ درصدی ودیعه مسکن تکمیل شده است، همچنان سامانه ثبت نام این وام از سوی وزارت راه و شهرسازی باز است که منجر به اعطای تسهیلات نخواهد شد.معاون وزیر راه و شهرسازی: اتمام اعتبار بانک‌ها، قابل قبول نیست / ‬ ۴ هزار میلیارد تومان تا کنون پرداخت شدهاین در حالی است که معاون مسکن و ساختمان وزارت راه و شهرسازی می‌گوید: بر اساس آخرین آمار یک میلیون و ۶۸۵ هزار نفر تا کنون برای دریافت وام ودیعه ثبت نام کرده‌اند و از این تعداد ۶۴۰ هزار نفر به بانک‌ها معرفی شده‌اند و ۱۴۲ هزار نفر هم تسهیلات دریافت کرده‌اند.محمود محمود زاده گفت: در ابتدای سال، مکاتبه‌ای با ستاد ملی مقابله با کرونا برای پرداخت وام ودیعه مسکن داشته‌ایم و این ستاد تسهیلاتی برای پرداخت وام ودیعه مسکن به بانک‌ها در نظر گرفته‌اند. حدود ۱۰ هزار میلیارد تومان اعتبار برای وام ودیعه مسکن در نظر گرفتند که از این میزان تنها ۴۵ درصد که معادل ۴ هزار میلیارد تومان است تا کنون توسط بانک‌ها پرداخت شده است.معاون مسکن و ساختمان وزارت راه و شهرسازی گفت: به هیچ عنوان این موضوع مورد قبول نیست که اعتبار بانکی برای پرداخت تسهیلات ودیعه مسکن به اتمام رسیده است. ممکن است بین شعب بانک‌ها شعبه‌ای نیاز به تجدید نظر داشته باشد و ما مکاتبه برای تأمین اعتبار کنیم، اما اینکه اعتبار همه شعب بانک‌ها به اتمام رسیده است به هیچ عنوان مورد قبول نیست.متن مصوبه ستاد کرونا در خصوص وام ودیعهدر اواخر خرداد ماه امسال نیز ستاد ملی مقابله با کرونا، سقف بودجه در نظر گرفته شده برای تسهیلات ودیعه مسکن را ۱۰ هزار میلیارد تومان اعلام کرده و به تصویب رسانده بود.سقف وام ودیعه مسکن ۱۰ هزار میلیارد تومان تعیین شدمنشأ سوءتفاهم وزارت راه و بانک مرکزی کجاست؟به نظر می‌رسد علت تفاوت آمار و محاسباتی که وزارت اقتصاد و بانک مرکزی از اعطای تسهیلات کمک ودیعه مسکن با معاونت مسکن و ساختمان وزارت راه و شهرسازی دارند، مدت زمان مورد نظر هر یک از این دستگاه‌ها است.بانک مرکزی و وزارت اقتصاد، احتمالاً کل دو سالی که از اعطای تسهیلات ودیعه مسکن می‌گذرد را در نظر دارند و وزارت راه و شهرسازی تسهیلاتی که امسال پرداخت شده را تا سقف ۱۰ هزار میلیارد تومان در نظر گرفته اند.وزارت اقتصاد (نیمه نخست مهر امسال): تا کنون ۶.۴ هزار میلیارد تومان وام ودیعه پرداخت شدهبر اساس آماری که وزارت اقتصاد تا پایان نیمه نخست مهر امسال ارائه کرده بود، تعداد دریافت کنندگان وام ودیعه مسکن با آماری که وزارت راه و شهرسازی می‌گوید، تفاوت دارد.وزارت اقتصاد می‌گوید: تا نیمه اول مهرماه سال جاری بانک‌ها و مؤسسات اعتباری دولتی و خصوصی حدود ۶ هزار و ۴۰۰ میلیارد تومان تسهیلات ودیعه مسکن به ۲۶۷ هزار و ۱۶۷ نفر متقاضی پرداخت کرده‌اند.ضمن اینکه ۴۷ هزار و ۱۲۳ پرونده به مبلغ نزدیک به یک‌هزار و ۸۰۰ میلیارد تومان نیز تشکیل و به زودی به متقاضیان پرداخت خواهد شد.
138,ثبت‌نام نهضت ملی مسکن تا پایان آذر تمدید شدمعاون وزیر راه و شهرسازی از تمدید مهلت ثبت‌نام طرح نهضت ملی مسکن تا پایان آذرماه امسال خبر داد.محمود محمودزاده در گفت‌وگو با خبرنگار اقتصادی خبرگزاری تسنیم با یادآوری مهلت متقاضیان نهضت ملی مسکن برای ثبت‌نام تا 15 آذرماه 1400، اظهار کرد: بر اساس تصمیم‌ جدید مهلت ثبت‌نام متقاضیان تا پایان ماه جاری تمدید شد.وی با بیان این‌که تاکنون بیش از یک میلیون و 850 هزار نفر در نهضت ملی مسکن ثبت‌نام کرده‌اند، افزود: خبرهای خوبی برای متقاضیان نهضت ملی مسکن در راه است.وی پیش‌تر نیز گفته بود: با مصوبه شورای‌عالی مسکن، طرح ملی مسکن و نهضت ملی مسکن در هم ادغام شدند. این کار با هدف برخورداری همه متقاضیان از مزایای یکسان بوده است.وی از ثبت‌نام 3.6 میلیون متقاضی در این 2 طرح خبر داد و یادآور شد: پیش‌تر بانوان خودسرپرست بالای 35 سال سن، معلولان جسمی و حرکتی، نخبگان علمی امکان ثبت‌نام را داشتند که با مصوبه دولت هم اکنون آقایان مجرد بالای 45 سال سن و بیماران خاص نیز امکان ثبت‌نام را یافته‌اند. همچنین دولت سیزدهم برای آنکه بتواند در جهت افزایش ازدواج و جمعیت فعالیت ویژه‌ای انجام بدهد به وزارت راه و شهرسازی تکلیف کرده است تا شرایط ثبت‌نام برای سایر مجردان را نیز فراهم کند که جزییات آن بعدها اعلام می‌شود.  وی در خصوص مهلت ثبت‌نام نیز اعلام کرد: هم‌اکنون مهلت ثبت‌نام تا 15 آذر اعلام شده است که چنانچه تقاضایی وجود داشته باشد، تمدید خواهد شد زیرا بنا نداریم تا صف انتظار برای مسکن ایجاد شود.معاون وزیر راه و شهرسازی با اشاره به اینکه اراضی 2 میلیون و 400 هزار واحد مسکونی طرح نهضت ملی مسکن تامین شده است، گفت: در هیچ شهری اگر تامین زمین انجام نشود ثبت‌نام مجددی نخواهیم داشت. بخشی از اراضی شناسایی و تامین شده برای اجرای طرح نهضت ملی مسکن که بخشی متعلق به وزارت راه وشهرسازی و بخشی متعلق به سایر دستگاه‌هاست، آن تعدادی که متعلق به سایر دستگاه هاست در مرحله تغییر کاربری، الحاق به محدوده و کارهای تخصصی است که در حال انجام است.محمودزاده اظهار کرد: همکاران ستادی و استانی حداکثر تا پایان دی‌ماه باید اراضی 2 میلیون واحد مسکونی طرح نهضت ملی مسکن را معرفی و مشکلات آن را حل کنند و برای سقف 4 میلیون واحد مسکونی نیز زمان تعیین شده برای استان‌ها و ستاد حداکثر تا پایان سال جاری تعیین شده است.وی یادآور شد: تجاربی که از طرح‌های قبل وجود دارد در اجرای طرح نهضت ملی مسکن ملاک عمل قرار گرفته است. تمام پروژه‌ها در محیط‌های فنی و GIS جانمایی شده است. اطلاعات تکمیلی آنها نیز همزمان برای دستگاه‌های خدمات‌رسان از جمله وزارت نیرو، خدمات گازرسانی و ... ارسال شده است تا آن‌ها نیز همزمان بتوانند برنامه‌ریزی‌های‌شان را انجام بدهند تا بعد از اتمام پروژه‌های مسکونی خدمات همزمان آماده باشد.
139,جزئیات نحوه فعالیت باند بزرگ جعل اسناد در استان‌های البرز و تهران به ارزش ۵۰۰ میلیارد تومانقوه قضائیه، از شناسایی و بازداشت ۱۹ عضو یک باند جعل اسناد رسمی توسط حفاظت و اطلاعات دادگستری خبر داد.به گزارش باشگاه خبرنگاران جوان به نقل از مرکز رسانه  قوه قضائیه با آغاز دوره تحول و تعالی مبارزه فنی و تخصصی با زمین‌خواری و بازگشت اراضی ملی به بیت‌المال شتاب بیشتری گرفت که نتیجه آن صدور احکام متعدد به نفع منابع ملی و قلع و قمع ساخت و ساز‌های غیرمجاز بوده استدر تازه‌ترین این اقدامات، رئیس کل دادگستری استان البرز، از شناسایی و بازداشت ۱۹ عضو یک باند جعل اسناد رسمی توسط حفاظت و اطلاعات دادگستری خبر داد که به تنظیم اسناد صوری انتقال در قالب صلح نامه و وکالت نامه اقدام و با اسناد جدید املاک را به دیگران منتقل می‌کردند.فاضلی هریکندی ارزش این اراضی را حدود ۵۰۰ میلیارد تومان اعلام کرده استمتهمان پس از جعل سند، املاک را به تنظیم وکالتنامه سریعاً به فروش می‌رساندند. این پرونده پس از اعلام جرم اداره کل ثبت اسناد و املاک استان البرز مبنی بر ارائه یک سند دفترچه‌ای و برگه وکالتنامه و درخواست تک برگ نمودن این سند دفترچه‌ای به نام وکیل مندرج در سند وکالتنامه شروع به رسیدگی شد.به گفته رئیس کل دادگستری استان البرز، پس از تردید اداره ثبت اسناد نسبت به جعلی بودن سند دفترچه‌ای، بازپرس شعبه دوم دادسرای ناحیه یک کرج دستور جلب وکیل مندرج در سند وکالتنامه را صادر نمود و با توجه به نوع جرم و احتمال جعل اسناد رسمی و تبانی جاعل با کارکنان دفاتر اسناد رسمی و ادارات ثبت اسناد و املاک با تلاش مامورین حفاظت و اطلاعات دادگستری کل استان، متهم در شهرستان فردیس در حین اخذ سند دیگری از اداره ثبت اسناد و املاک آن شهرستان شناسایی و بازداشت شد.پس از تحقیقات ابتدایی از متهم، مشخص می‌شود این فرد به صورت گسترده در سطح کشور خصوصاً در استان‌های البرز و تهران با همکاری تعدادی از کارکنان اداره ثبت اسناد و املاک و دفاتر اسناد رسمی اقدام به تهیه اسناد جعلی برای املاک بلاصاحب، مجهول المالک و زمین‌هایی خالی از سکنه می‌کرده‌اند و متهمان پس از جعل سند، املاک را با تنظیم وکالتنامه سریعاً به فروش می‌رساندند.پس از صدور دستور و نیابت‌های قضایی و اقدامات اطلاعاتی، سایر متهمین نیز جلب شدند؛ بازداشت متهمین متعدد با توجه به سرعت بالای انجام تحقیقات در حفاظت و اطلاعات دادگستری استان البرز به نحوی بود که متهمان دیگر از بازداشت سایر متهمین مطلع نبودند.تشریح نحوه اقدامات مجرمانه متهمان؛ پرداخت رشوه‌های میلیاردیدر این باند جعل سند، افراد مختلفی فعالیت داشته‌اند و جاعلین حرفه‌ای شبکه‌ای متشکل از افراد عادی و کارمندان ادارات ثبت اسناد و املاک، ثبت احوال و دفاتر اسناد رسمی در سطح کشور تشکیل داده بودند.در یک مورد به سردفتر و یکی از کارمندان دفاتر اسناد رسمی، به جهت همکاری با باند جاعلین در تنظیم سند غیرمنقول مجعول، مبلغ ۲۵۰ میلیون تومان پرداخت شده است یا در مورد دیگری، متهمان با همکاری یکی از معاونین اداره ثبت و اسناد و املاک شهرستان فردیس، قصد جعل و سندسازی برای ملکی در فردیس را داشته اند و ۲۵ عدد سکه تمام بهار آزادی هم به وی داده بودند و مقرر بوده پس از فروش ملک، یک میلیارد تومان دیگر به وی پرداخت کنند، ولی با ورود دادگستری استان، همه متهمان بازداشت شدند.ارزش املاک حداقل ۵۰۰ میلیارد تومان برآورد شده است؛ بنابراین در گزارش، در هنگام بازداشت دو نفر از اعضای این باند جعل اسناد و تصاحب اموال مردم که کارمند ثبت احوال بوده‌اند، از این متهمان تعدادی مهر ژلاتینی ثبت احوال‌های منطقه ۱۵ تهران، اداره ثبت احوال تهران، اداره ثبت احوال اراک، به همراه گواهی فوت جعلی و صوری کشف شد.به گفته رئیس کل داگستری استان البرز، پلاک‌های ثبتی که به صورت غیرقانونی توسط متهمین مورد سندسازی و انتقال مال غیر قرار گرفته بودند عمدتا در محدوده استان‌های تهران و البرز است، به عنوان نمونه به بخشی از این املاک می‌توان به شش دانگ یک قطعه زمین به مساحت ۱۶۴۱ متر مربع در دهکده فردیس، دو قطعه زمین هر کدام به متراژ ۱۰ هزار متر مربع و نیز دو پلاک به مساحت ۲۳۶۳ متر مربع و ۶۷۵ متر مربع در ماهدشت کرج، زمینی به مساحت ۵۰۰ متر مربع در سعادت آباد تهران، اراضی متعددی به متراژ‌های ۲۴۰۰، ۱۰۰۰۰ و ۲۳۹۳ متر مربع در صفادشت استان تهران، شش دانگ زمینی به مساحت ۵۰۰ متر مربع در سعادت آباد تهران و باغ ویلایی به مساحت ۶۵۳ متر مربع در شهرستان شهریار استان تهران اشاره کرد و افزود ارزش این املاک حداقل ۵۰۰ میلیارد تومان برآورد شده است.شگردهای متهمان برای شناسایی املاکاعضای این شبکه از روش‌های متعددی جهت شناسایی املاک مجهول المالک، بلاصاحب و یا املاکی که مالکین آنها در خارج از کشور و یا در شهرهای دیگر بودند و در مرحله بعد هم جهت سندسازی و انتقال املاک به اشخاص دیگر استفاده می‌کردند.متهمان جهت شناسایی املاک از روش‌هایی مانند تصرف زمین‌های خالی و بدون حفاظ و ایجاد مستحدثاتی همچون دیوار کوتاه و امثال آن، برای اراضی محصور نیز سرقت در ورودی و یا تعویض قفل آن و نیز نصب تابلوی شهرداری یا ارگانهای دیگر و یا نصب پلاک و قید مشخصات مالک غیرواقعی در اراضی جهت اطمینان از متروک بودن املاک و عدم مراجعه ملاک استفاده می‌کردند و در مرحله بعد نیز ضمن تبانی با کارکنان اداراتی از قبیل ثبت اسناد و املاک و ثبت احوال و با پرداخت رشوه مشخصات ملک و مالکین آن را تحصیل نموده و در این مرحله نیز با روش‌هایی همچون جعل اسناد و یا تنظیم مبایعه نامه‌های جعلی و متعاقبا ارائه دادخواست حقوقی به دادگاه و اخذ حکم غیابی و در برخی از موارد نیز با قید شرط داوری در مبایعه نامه‌های جعلی و تعیین یکی از اعضای باند به عنوان داور و اخذ رای داوری به نفع خود و تقاضای اجرای آن، نسبت به تصاحب اموال مردم و انتقال آن به دیگران استفاده می‌کرد.
147,سال ۱۳۴۴ یا ۱۳۴۵ بود که وارد مکتب خانه روستای عباس آباد یا سرخره امروزی (یکی از روستاهای بخش شبانکاره) شدم اما اواسط یادگیری قرآن بود که سپاه دانش در روستای خودمان یعنی محمد جمالی راه اندازی شد اما مادر بزرگم مخالفم رفتنم بود و معتقد بود اول باید قرآن یاد بگیرم.پدر و مادرم در کوه‌های منطقه مشغول چوپانی بودند و تصمیم گرفتم به سوی مادرم بروم و شناسنامه‌ام را بگیرم و در مدرسه سپاه دانش ثبت نام کنم بعد از مدتی مادربزرگم متوجه شد و پرونده‌ام از مدرسه روستایمان را گرفت و گفت باید ابتدا مکتب را به اتمام برسانی.
179,مهلت ثبت‌نام آزمون دکتری امروز پایان می‌یابدمهلت ثبت‌نام برای شرکت در آزمون دکتری ۱۴۰۱ دانشگاهها و موسسات آموزش عالی امروز جمعه ۱۲ آذر پایان می‌یابد.به گزارش ایسنا، مهلت متقاضیان ثبت‌نام در آزمون ورودی مقطع دکتری نیمه متمرکز(Ph.D) سال ۱۴۰۱ برای پذیرش در دوره‌های روزانه، نوبت دوم، دانشگاه آزاد اسلامی، دانشگاه پیام نور، دانشگاه‌ها و مؤسسات آموزش عالی غیرانتفاعی و پردیس خودگردان دانشگاه‌ها و مؤسسات آموزش عالی که از روز دوشنبه مورخ اول آذر ماه آغاز شده بود، پس از تمدید مجدد، ساعت ۲۴ امروز جمعه ۱۲ آذر پایان می‌یابد. داوطلبان متقاضی ثبت‌نام در آزمون ورودی مقطع دکتری نیمه متمرکز(Ph.D) سال ۱۴۰۱  و همچنین کسانی که تاکنون در آزمون ثبت‌نام کردند می‌توانند در این مهلت تمدید شده نسبت به ثبت‌نام خود اقدام و اطلاعات خود را ویرایش کنند. به متقاضیان توصیه می‌شود که مطابق دستورالعمل مندرج در دفترچه راهنمای ثبت‌نام، ابتدا فرم پیش‌نویس تقاضانامه مندرج در دفترچه مذکور را تکمیل کرده و سپس براساس فرم پیش‌نویس با مراجعه به درگاه اطلاع‌رسانی سازمان سنجش، اطلاعات لازم را بر اساس بندهای برنامه نرم‌افزاری ثبت‌نام وارد کنند. همچنین لازم است در درج اطلاعات ثبت‌نام دقت کنند.  متقاضیان پس از تکمیل تقاضانامه، دریافت شماره پرونده شش رقمی و کدپیگیری ۱۶ رقمی یک نسخه پرینت از تقاضانامه تهیه و نزد خود نگهداری کنند. در انتخاب کدرشته‌ امتحانی و همچنین شهرستان محل حوزه امتحانی خود دقت کنند؛ پس از دریافت کد پیگیری ۱۶ رقمی در این خصوص، به درخواست‌های متقاضیان مبنی بر اصلاح و یا جابجایی ترتیب اثر داده نخواهد شد. براساس برنامه زمانی پیش‌بینی شده آزمون ورودی مقطع دکتری نیمه متمرکز(Ph.D) سال ۱۴۰۱ در روز جمعه مورخ شش اسفند برگزار خواهد شد. متقاضیان لازم است از روز سوم تا روز پنجم اسفند ماه با مراجعه به درگاه اطلاع‌رسانی سازمان سنجش آموزش کشور نسبت به تهیه پرینت کارت شرکت در آزمون و راهنمای شرکت در آزمون اقدام کنند. هر متقاضی براساس ضوابط مندرج در دفترچه راهنمای ثبت‌نام و شرکت در آزمون می‌تواند در یک کدرشته‌ امتحانی ثبت‌نام‌ و در آزمون مربوط شرکت‌ کند.
205,دسترسی قمی‌ها برای ثبت نام نهضت ملی مسکن ایجاد شد/امکان ثبت نام مردم در همه استان‌هادسترسی قمی‌ها برای ثبت نام نهضت ملی مسکن ایجاد شد/امکان ثبت نام مردم در همه استان‌هابه گزارش خبرنگار اقتصادی خبرگزاری فارس، با گذشت 41 روز از شروع ثبت نام نهضت ملی مسکن با هدف ساخت 4 میلیون واحد مسکونی در 4 سال، شرایط دسترسی شهروندان استان قم به منظور ثبت‌نام در این طرح مهیا شد.براین اساس، متقاضیان واجد شرایط استان قم می‌توانند از هم‌اکنون با مراجعه به سامانه ثبت نام نهضت ملی مسکن به نشانی « saman.mrud.ir» نسبت به ثبت نام اقدام کنند.بر اساس اظهارات یک منبع آگاه در شورای عالی معماری و شهرسازی، علت تاخیر در باز شدن دسترسی برای ثبت نام مردم قم، مسئله تامین زمین بوده است.این منبع آگاه با اشاره به فعالیت‌ها و پیگیری‌های مستمر شورای عالی معماری و شهرسازی به منظور بهره‌مندی متقاضیان واحد شرایط استان قم در نهضت ملی مسکن گفت: با توجه به تاکیدات وزیر راه و شهرسازی تمام تلاش شورای عالی معماری و شهرسازی بر آن شد که زمینه تامین زمین در استان قم را به وجود آورد.وی ادامه داد: بر این اساس با استناد به مصوبه شورای عالی معماری و شهرسازی، 450 هکتار از اراضی خارج از محدوده وزارت راه و شهرسازی به محدوده شهری استان قم اضافه شد و بدین ترتیب شرایط ثبت نام برای متقاضیان این استان فراهم شد.لازم به ذکر است پیش از این مخاطبان سامانه فارس من در قالب ثبت سوژه‌های متعدد از جمله «مطالبه اضافه شدن استان قم به طرح جهش تولید مسکن» خواستار مهیا شدن شرایط ثبت نام برای متقاضیان مسکن استان قم شده بودند.
