id,news_
3,آخرین آمار کرونا در ایران، ۱۳ آذر ۱۴۰۰: فوت ۵۸ نفر در شبانه روز گذشتهآخرین آمار کرونا در ایران، ۱۳ آذر ۱۴۰۰: فوت ۵۸ نفر در شبانه روز گذشتهبنابر اعلام وزارت بهداشت، طی ۲۴ ساعت گذشته متاسفانه ۵۸ بیمار کووید-۱۹ به دلیل این بیماری در کشور جان خود را از دست دادند. همچنین در این بازه زمانی ۲هزار و ۱۵۷ مبتلا به این بیماری شناسایی شدند.
4, تسنیم: دلار در بازار آزاد: ۳۰ هزار و ۱۰۰تومانتسنیم: دلار در بازار آزاد: ۳۰ هزار و ۱۰۰تومانامروز در بازار آزاد تا این لحظه قیمت طلای ۱۸ عیار هر گرم یک میلیون و ۲۹۵ هزار تومان، قیمت سکه تمام‌بهار آزادی طرح جدید ۱۲ میلیون و ۹۷۰ هزار تومان و قیمت دلار ۳۰هزار و ۱۰۰تومان است.
20,ثبت‌نام نهضت ملی مسکن تا پایان آذر تمدید شدثبت‌نام نهضت ملی مسکن تا پایان آذر تمدید شدمعاون وزیر راه و شهرسازی از تمدید مهلت ثبت‌نام طرح نهضت ملی مسکن تا پایان آذرماه امسال خبر داد.
24,متوسط قیمت هر متر مسکن در تهران متری ۳۲ میلیون تومان شدبه گزارش خبرنگار مهر، بانک مرکزی آمار معاملات مسکن در شهر تهران طی آبان ماه سال جاری را اعلام کرد که بر اساس آن تعداد معاملات مسکن در ماه مذکور هفت هزار و ۳۰۴ فقره معامله بود که نسبت به ماه قبل از آن (مهر ۱۴۰۰) که تعداد معاملات پنج هزار و ۴۷۱ فقره بود، رشد ۳۳.۵ درصدی و نسبت به ماه مشابه سال قبل از آن (آبان ۱۳۹۹) که تعداد معاملات چهار و ۴۶۶ فقره بود رشد ۶۳.۵ درصدی را نشان می‌دهد.متوسط قیمت هر مترمربع واحد مسکونی در آبان ماه امسال ۳۲ میلیون و ۹۰ هزار تومان برآورد شده که نسبت به مهرماه امسال رشد ۱.۲ درصدی و نسبت به آبان ۱۳۹۹ رشد ۱۷.۷ درصدی داشته است.بیشترین تعداد معاملات مسکن در آبان ماه به منطقه ۵ تهران با هزار و ۱۱ فقره و کمترین تعداد معاملات نیز به منطقه ۱۹ با ۵۶ فقره اختصاص داشته است.گران‌ترین منطقه پایتخت نیز مانند سالهای اخیر منطقه یک با متوسط متری ۷۲ میلیون و ۷۴۹ هزار و ۹۰۰ تومان است و ارزان‌ترین منطقه پایتخت نیز به منطقه ۱۸ با متوسط متری ۱۴ میلیون و ۵۱۹ هزار و ۹۰۰ تومان اختصاص دارد.اجاره بهای مسکن در آبانبراساس این گزارش متوسط اجاره بهای مسکن در شهر تهران طی آبان امسال نسبت به آبان سال گذشته، رشد ۵۱.۶ درصدی و در کل کشور افزایش ۵۴.۹ درصدی داشته است.
44,به گزارش خبرگزاری مهر به نقل از وزارت علوم مسعود گنجی رئیس صندوق رفاه دانشجویان وزارت علوم، تحقیقات و فناوری در حاشیه افتتاح خوابگاه دانشجویی دانشگاه سمنان گفت: وام ودیعه مسکن متاهلی نیز با افزایش ۳۰ درصدی در تهران به ۳۲ میلیون و ۵۰۰ هزار تومان رسیده و این رقم در سایر کلان شهرها ۲۶ میلیون تومان و در سایر شهرها به ۱۹ میلیون و ۵۰۰ هزار تومان افزایش یافته است.وی با بیان اینکه به دلیل شرایط کرونایی نمی‌توانیم از حداکثر ظرفیت خوابگاه‌ها استفاده کنیم افزود: برای سکونت دانشجویان در خارج از خوابگاه‌های ملکی دانشگاه‌های کشور، مبلغ تسهیلات ودیعه مسکن دانشجویان به ۲ برابر افزایش یافت و با ثبت نام گروهی دانشجویان متقاضی و نیاز اعلامی از سوی دانشگاه‌ها، تسهیلات مورد نیاز تهیه خوابگاه اعطا می‌شود.رئیس صندوق رفاه دانشجویان وزارت علوم، تحقیقات و فناوری اظهار داشت: خبرهای خوبی برای دانشجویان متأهل و ازدواج‌های دانشجویی در راه است.وی یادآور شد: سرای دانشجویی فرزانگان چهار دانشگاه سمنان با ۲۰۰ میلیارد ریال هزینه و ظرفیت ۲۵۰ دانشجو در چهار طبقه با حضور رئیس صندوق رفاه دانشجویان وزارت علوم، تحقیقات و فناوری به بهره برداری رسید.کد خبر 5362653
45,به گزارش مهر، سی و پنجمین دوره آزمون دستیاری دندانپزشکی پنجشنبه ۲۹ مهر ماه ۱۴۰۰ با حضور یک هزار و ۹۰۹ داوطلب برگزار شد. در این دوره آزمون ۲ هزار و ۴۶۹ نفر ثبت نام کرده که از این تعداد ۱ هزار و ۹۰۹ نفر در آزمون شرکت و ۵۰۰ نفر غایب بودند.نتایج اولیه سی و پنجمین آزمون پذیرش دستیاری در رشته های تخصصی دندانپزشکی به صورت کارنامه از طریق سایت مرکز سنجش آموزش پزشکی به آدرس http://sanjeshp.ir قابل مشاهده و دریافت است. داوطلبان می توانند با وارد کردن کد رهگیری، کارنامه خود را مشاهده و دریافت کنند.انتخاب رشته سی و پنجمین دوره آزمون دستیاری دندانپزشکی از امروز یکشنبه ۷ آذر آغاز می شود و فرصت انتخاب رشته تا ساعت ۱۲ روز شنبه ۱۳ آذر ادامه خواهد داشت و داوطلبان امکان انتخاب ۵۰ رشته محل را دارند. داوطلبان می توانند کارنامه و دفترچه انتخاب رشته را از سایت مرکز سنجش آموزش پزشکی دریافت کنند.ظرفیت پذیرش دانشگاه های علوم پزشکی پذیرنده دانشجوی دستیاری دندانپزشکی اعم از دولتی عادی و شهریه ای ۳۵۹ نفر اعلام شده است.همچنین جدول اعلام نیاز آموزشی و درمانی تعهدات قانون اصلاح بند ٣ ماده واحده قانون برقراری عدالت آموزشی در پذیرش دانشجو در دوره های تحصیلات تکمیلی و تخصصی «تعهد خاص» در سال ۱۴۰۰ مربوط به متقاضیان پذیرش بومی منتشر شده است و داوطلبان می توانند با توجه به آن انتخاب رشته کنند.بر اساس قانون برقراری عدالت آموزشی، میزان تعهدات پذیرفته شدگان به میزان ٣ برابر مدت تحصیل است و قابل خرید یا جابجایی نیست.با صلاحدید دانشگاه علوم پزشکی محل تعهد، انجام تعهدات به صورت کادر آموزشی یا درمانی خواهد بود.کد خبر 5362844
50,تهران- ایرنا- نتایج یک مطالعه جدید نشان می‌دهد، افرادی که برای دومین بار به کرونا مبتلا می شوند، نسبت به بار اول ابتلا به این بیماری ۹۰ درصد کمتر احتمال دارد که در بیمارستان بستری شوند یا بر اثر ابتلا به این بیماری جان خود را از دست بدهند.به گزارش روز دوشنبه گروه علم و آموزش ایرنا از روزنامه دیلی میل، محققان در این مطالعه امواج همه گیری کرونا را که در بهار ۲۰۲۰ به قطر رسید و همچنین دو موج پشت سر هم در بهار و زمستان ۲۰۲۱ را بررسی کردند. آنها دریافتند بیمارانی که برای بار دوم به کووید مبتلا شده‌اند، نسبت به عفونت‌های اولیه ۹۰ درصد کمتر در معرض خطر ابتلا به بیماری شدید کرونا یا مرگ ناشی از این بیماری قرار دارند.یافته های این مطالعه که با همکاری محققان وزارت بهداشت عمومی و کالج پزشکی وایل کرنل قطر انجام شد، شواهدی را ارائه می‌دهند که عفونت مجدد به کرونا نادر و حتی ابتلای دوباره به وضعیت شدید این بیماری نادرتر است.محققان در این مطالعه که در نشریه پزشکی نیوانگلند منتشر شد، بیش از ۳۵۳ هزار نفر را که بین ۲۸ فوریه ۲۰۲۰ تا ۲۸ آوریل ۲۰۲۱ به کووید-۱۹ آلوده شده بودند، بررسی کردند. محققان هزار و ۳۰۰ نفر را شناسایی کردند که مجدد به کووید-۱۹ آلوده شده بودند و آنها را بر اساس فاکتورهایی از جمله جنسیت، سن و ملیت با پنج عفونت اولیه مقایسه کردند.محققان هزار و ۳۰۰ نفر را شناسایی کردند که دوباره به کووید-۱۹ آلوده شده بودند. آنها وضعیت بیماری این افراد را با عفونت اولیه مقایسه کردند. در نتیجه این بررسی دریافتند که تنها چهار نفر، یعنی ۰.۳ درصد افرادی که دوباره به کرونا مبتلا شده بودند، به شدت بیمار شدند؛ این در حالی است که این رقم در عفونت اولیه ۲.۵ درصد بود. به علاوه ۰.۴ درصد افرادی که برای اولین بار به کرونا مبتلا شده بودند، به وضعیت بسیار وخیم این بیماری مبتلا شدند و ۰.۱ درصد از افراد این گروه جان خود را بر اثر کرونا از دست دادند. اما در مقایسه، هیچ فردی در گروه عفونت مجدد فوت نکرد.به طور کلی، ۳.۱ درصد از افرادی که برای اولین بار به عفونت کرونا مبتلا شده بودند، به بیماری شدید، بحرانی یا کشنده ناشی از کووید-۱۹ مبتلا شدند؛ در حالی که این میزان در گروه عفونت مجدد تنها ۰.۳ درصد بود.محققان می گویند این به معنای کاهش ۹۰ درصدی احتمال بستری شدن در بیمارستان، پایان دادن به بخش مراقبت های ویژه یا مرگ با عفونت مجدد در مقایسه با عفونت اولیه است.به گزارش ایرنا، ویروس کرونا موسوم به «کووید۱۹» اواسط ماه دسامبر ۲۰۱۹ (۲۴ آذر ۱۳۹۸) در شهر ووهان واقع در مرکز چین گزارش شد.  ابتدا از این بیماری به عنوان ذات الریه نام برده می شد اما کمیسیون ملی بهداشت چین ۳۰ دسامبر سال ۲۰۱۹ (۹ دی ماه ۹۸) به صورت رسمی شیوع این ویروس را در چین اعلام کرد.شمار مبتلایان به بیماری کووید-۱۹ در جهان تاکنون به بیش از ۲۶۱ میلیون نفر رسیده و مرگ بیش از پنج میلیون و ۲۰۰ نفر بر اثر ابتلا به این بیماری تایید شده است.
56,فوت ۸۰ بیمار کرونایی در شبانه روز گذشته/ ۵ استان بدون مرگ و میربه گزارش خبرنگار مهر، مرکز روابط عمومی و اطلاع رسانی وزارت بهداشت اعلام کرد: از دیروز تا امروز ۷ آذر ۱۴۰۰ و بر اساس معیارهای قطعی تشخیصی، ۳ هزار و ۷۸۱ بیمار جدید مبتلا به کووید ۱۹ در کشور شناسایی شد که ۶۴۹ نفر از آنها بستری شدند.مجموع بیماران کووید ۱۹ در کشور به ۶ میلیون و ۱۰۸ هزار و ۸۸۲ نفر رسید.در طول ۲۴ ساعت گذشته، ۸۰ بیمار کووید ۱۹ جان خود را از دست دادند و مجموع جان باختگان این بیماری به ۱۲۹ هزار و ۶۲۹ نفر رسید.در شبانه روز گذشته، ۵ استان کشور هیچ موردی از مرگ و میر بیماران کرونایی نداشته‌اند، در ۲۲ استان بین ۱ تا ۵ مورد و در ۴ استان نیز بین ۵ تا ۹ مورد مرگ و میر ثبت شده است.تا کنون ۵ میلیون و ۸۶۳ هزار و ۲۴۸ نفر از بیماران، بهبود یافته و یا از بیمارستان‌ها ترخیص شده‌اند.سه هزار و ۳۴۷ نفر از بیماران مبتلا به کووید ۱۹ در بخش‌های ICU بیمارستان‌ها تحت مراقبت قرار دارند.تا کنون ۳۸ میلیون و ۵۴۷ هزار و ۶۵۸ آزمایش تشخیص کووید ۱۹ در کشور انجام شده است.در حال حاضر هیچ شهری در وضعیت قرمز نیست، اما ۲۲ شهر در وضعیت نارنجی، ۲۰۷ شهر در وضعیت زرد و ۲۱۹ شهر در وضعیت آبی قرار دارند.
65,رییس اداره برق معمولان گفت: ۱۰۰ میلیون تومان برای برق دارشدن روستای صیادمنصور آمیران کوشکی از توابع این بخش هزینه شده است.
69,باشگاه خبرنگاران نوشت: نتایج یک بررسی در رژیم صهیونیستی نشان می‌دهد، خطر ابتلا به کووید ۱۹ سه ماه پس از دریافت دومین دز از واکسن فایزر بیش از دو برابر می‌شود.
