id,news_
2, مجلس به دنبال بستنِ راهِ «تنفسِ» جنگل‌های شمال؟ / آیا درخواست جمع آوری «درختان شکسته و افتاده» اسم رمز قطع درختان و نابودی جنگل است؟مجلس به دنبال بستنِ راهِ «تنفسِ» جنگل‌های شمال؟ / آیا درخواست جمع آوری «درختان شکسته و افتاده» اسم رمز قطع درختان و نابودی جنگل است؟تمام ۳۲ نماینده سه استان شمالی، پنجشنبه چهارم آذرماه با رئیس دولت سیزدهم جلسه داشتند تا از او بخواهند فکری به حال خوراک کارخانه‌های شمال کند. کارخانه‌هایی که در نخستین روز کسب مجوز، به شرط تامین چوب از آن سوی مرزها، گواهی فعالیت دریافت کردند.
11,ترویج فرهنگ اهدای عضو نیازمند کار بیشتر استبه گزارش خبرگزاری مهر، امید قبادی، در رابطه با وضعیت فرهنگ سازی حوزه اهدای عضو در ایران، افزود: کشور ما در حال حاضر برای رسیدن به وضعیت مطلوب در بحث اهدا یک سوم مسیر را طی کرده است.وی بر نوع دوستی بالای مردم ایران تاکید کرد و با اشاره به اینکه مردم ایران ظرفیت بالایی در پذیرش این امر انسان دوستانه داشته و دارند، ادامه داد: اگر هنوز به وضعیت مطلوب نرسیده ایم بخش زیادی به خاطر کم کاری در حوزه فرهنگ سازی و آشنا نبودن مردم با مفهوم مرگ مغزی مساوی با مرگ است.قبادی در پاسخ به سوالی مبنی بر اینکه کدام عضو پیوندی بیشتر در ایران مورد نیاز است، گفت: به دلیل رایج بودن دو بیماری فشار خون و دیابت در ایران و عوارض ناشی از این بیماری‌ها که از بین رفتن کلیه است، نیاز به پیوند این عضو در بیماران لیست انتظار ایران بیشتر است.وی با اشاره به اهمیت رضایت گرفتن سریع در نجات دو عضو قلب و ریه، تأکید کرد: این دو عضو زودتر از سایر اعضا بعد از مرگ مغزی از بین می‌روند بنابراین آگاه‌سازی وسیع‌تر مردم و شناخته شده‌تر شدن این نوع مرگ، در سرعت رضایت گیری تأثیرگذار خواهد بود.
22,حق الزحمه دانشجویان واکسیناتور تعیین شدبه گزارش خبرنگار مهر، دکتر کمال حیدری معاون بهداشتی وزارت بهداشت در نامه‌ای به دکتر عباس شیراوژن معاون فرهنگی و دانشجویی وزارت بهداشت موضوع مشارکت دانشجویان در طرح واکسیناسیون کشوری را پاسخ داده است.در این نامه آمده است: «در راستای گام پنجم طرح شهید سلیمانی مبتنی بر واکسیناسیون عمومی، پایگاه‌های تجمیعی واکسیناسیون جهت تسهیل و تسریع در روند واکسیناسیون کووید - ۱۹ راه اندازی و مقرر شد دانشگاه‌های علوم پزشکی از همه امکانات دانشگاه در این راستا استفاده کنند.یکی از نکات راهبردی بهره‌گیری از نیروهای دانشجو در رشته‌های مرتبط با این موضوع بود که خوشبختانه با حضور همه جانبه دانشجویان و فعالیت‌های بی شائبه آنان، شاهد پیشرفت‌های زیادی در عملکرد پایگاه‌های تجمیعی در امر واکسیناسیون بوده و هستیم که نقش دانشجویان در رسیدن به اهداف غیر قابل انکار است و باید به نحو مقتضی از آنان تقدیر شود.با توجه به اینکه حضور دانشجویان بر اساس کار دانشجویی معمولاً صورت می‌پذیرد و حق الزحمه در نظر گرفته برای آنان پاسخگوی زحمات و همچنین هزینه‌های ایاب و ذهاب را نخواهد کرد، بنابراین با بررسی‌های صورت گرفته مبلغ حق الزحمه دانشجویان به صورت ساعتی ۱۵۰ هزار ریال (۱۵ هزار تومان) تعیین می‌شود.امید است با مساعدت‌های معاونت فرهنگی و دانشجویی وزارت بهداشت و با تخصیص اعتبارات مربوط از سوی سازمان برنامه و بودجه به زودی جبران حداقلی زحمات دانشجویان صورت پذیرد.»پیش از این دکتر حمیدرضا اشراقی مدیرکل دانشجویی وزارت بهداشت در گفتگو با خبرنگار مهر درباره کار دانشجویی دانشجویان علوم پزشکی در حوزه واکسیناسیون گفته بود: دانشجویان علوم پزشکی که به عنوان واکسیناتور در واکسیناسیون کرونا همکاری کرده‌اند یک حق الزحمه تحت عنوان کار دانشجویی دریافت می‌کنند که در حال هماهنگی با معاونت بهداشتی برای تعیین آن هستیم.
31,3 عضو هیأت مدیره پرسپولیس صدری را مدیرعامل معرفی کردندبه گزارش خبرنگار ورزشی خبرگزاری فارس، پس از استعفای جعفر سمیعی از مدیرعاملی باشگاه پرسپولیس در روز 16 شهریور مجید صدری به عنوان سرپرست این باشگاه توسط اعضای هیأت مدیره سرخ‌پوشان معرفی شد. در شرایطی که حدود 9 روز تا پایان زمان سه ماهه سرپرستی صدری در باشگاه پرسپولیس باقیمانده سه عضو هیأت مدیره این باشگاه یعنی محمد فیاض، غلامعلی محمدعلیپور و محمداسد مسجدی بدون برگزاری جلسه با نامه‌ای به وزیر ورزش صدری را به عنوان مدیرعامل پرسپولیس معرفی کردند.البته طبق پیگیری خبرنگار ورزشی خبرگزاری فارس سه عضو هیأت مدیره این نامه را برای حمید سجادی ارسال کردند و صدری که اکنون به عنوان رئیس هیأت مدیره مشغول فعالیت است نقشی در این تصمیم‌گیری نداشته است. حال باید دید وزیر ورزش که پیش از این از اعضای هیأت مدیره پرسپولیس درخواست کرده بود گزینه خود را برای مدیرعاملی این باشگاه اعلام کنند چه زمانی تکلیف مدیریت پرسپولیس را مشخص می‌کند.
32,زمین‌لرزه ۷.۵ ریشتری پرو را لرزاندزمین‌لرزه ۷.۵ ریشتری پرو را لرزاندتهران - ایرنا - به گزارش مرکز لرزه نگاری اروپا- مدیترانه، زمین لرزه ای به بزرگی ۷.۵ درجه در مقیاس امواج درونی زمین(ریشتر) دقایقی پیش شهر باررانکا در شمال پرو را لرزاند.به گزارش ایرنا، این زمین لرزه در شمال شهر بارانکا در ۱۷۵ کیلومتری شمال لیما پایتخت پرو و در عمق ۸۰ کیلومتری از سطح زمین رخ داد.  هنوز خبری درباره خسارات و تلفات احتمالی این زمین لرزه مخابره نشده است.این زمین لرزه در مناطق وسیعی از برزیل، کلمبیا و اکوادور هم احساس شده است.برخی منابع خبری عمق این زمین لرزه را در فاصله ۱۱۲ کیلومتری از سطح زمین اعلام کرده اند. با توجه به زیاد بودن عمق زمین لرزه، این احتمال وجود دارد خسارات زیادی ایجاد نشود.
35,به گزارش خبرنگار مهر، حجت‌الاسلام غلامحسین محسنی اژه‌ای عصر امروز در نشست مشترک مجلس با قوه قضائیه که در محل صحن مجلس شورای اسلامی برگزار شد، گفت: خداوند را سپاسگزارم که توفیقی حاصل شد تا به همراه همکارانم در قوه قضائیه در آستانه سالروز شهادت عالم مجاهد، مبارز، وارسته و شجاع یعنی شهید آیت‌الله مدرس در مجلس و در خدمت نمایندگان مجلس باشم.وی بیان کرد: از رئیس مجلس شورای اسلامی و اعضای هیئت رئیسه مجلس تقدیر و تشکر می‌کنم که این فرصت را ایجاد کردند تا جلسه مشترکی بین نمایندگان مجلس و کارکنان قوه قضائیه برگزار شود.رئیس قوه قضائیه تصریح کرد: امیدوارم که این نشست‌ها و گفتگوهای مشترک در راستای کمک به نظام جمهوری اسلامی ایران و مردم باشد و به رفع مشکلات مردم بیانجامد.محسنی اژه ای با بیان اینکه مجلس به تعبیر شهید مدرس و امامین انقلاب، مرکز ثقل مملکت، خانه ملت و عصاره ملت است، اظهار داشت: امام(ره) فرمودند اگر در راس قوای سه گانه افراد شایسته‌ای به مانند شهید مدرس قرار بگیرند همه امور اصلاح می‌شود.وی تاکید کرد: مجلس می‌تواند منشا اصلاح امور باشد، مجلس می‌تواند ریل گذاری صحیح کند؛ مجلس اول و وسط و آخر است چرا که قانون وضع می کند، نظارت می کند و قدرت سوال و استیضاح دارد.رئیس قوه قضائیه با تاکید بر اینکه مجلس می‌تواند منشا قدرت نظام و عامل ایستادگی در برابر بیگانگان باشد، اظهار کرد: مجلس به سایر قوا برای ایستادگی در مقابل فشار بیگانگان کمک می‌کند و این امر را در دوره های مختلف ثابت کرده است. این موضوع از زمان شهید مدرس تا امروز برقرار بوده و کاری که شهید مدرس در زمان خود انجام داد بی‌نظیر بود.محسنی اژه‌ای خاطرنشان کرد: مجلس یازدهم به کمک دولت آمد در مقابل زیاده‌خواهان و شیطان بزرگ می‌خواستند ملت ایران را بیشتر تحت فشار قرار دهند قانونی وضع کرد که مسیر را تغییر داد و تولید قدرت و اقتدار کرد؛ این جایگاه مجلس است.وی بیان کرد: زیاده‌خواهان و شیطان بزرگ باز به دنبال آن بودند تا به نحوی از انحا، فشارهای خود بر مردم ایران را افزایش دهند که مجلس یازدهم به کمک دولت آمد و یک قانون مهم هسته‌ای را به تصویب رساند و تولید قدرت کرد و قدرت آفرید.رئیس قوه قضائیه ادامه داد: امروز دولت سیزدهم نیز با تمام قوا در حال رسیدگی به مسائل کشور است و رئیس‌جمهور و اعضای کابینه هم با خیرخواهی و دلسوزی در جهت ارتقاء نظام و رفع مشکلات کشور گام برمی‌دارند.محسنی اژه‌ای تصریح کرد: همچنین همکاران بنده در قوه قضائیه هم تلاش وافری می‌کنند تا در جهت اهداف نظام و تحقق ارزش‌های انقلاب اسلامی گام بردارند و برخورد بدون تبعیض با مفسدان را در دستور کار دارند.وی گفت: امروز فرصتی است که سه قوه دست در دست یکدیگر دهند و مسائل کشور را آسیب‌شناسی جدی کنند و ما باید با یکدیگر راه‌حل‌های مشترک بیابیم و نقشه‌های دشمنان را خنثی کنیم.رئیس قوه قضائیه با اشاره به اینکه ما باید مشکلات را خنثی و برطرف کنیم و مردم ما می‌توانند تحریم‌ها را خنثی کنند، گفت: اگر سه قوه دست به دست هم دهند و از ظرفیت‌های مردمی استفاده کنند، قطعاً می‌توانند تحریم‌ها را خنثی کنند و به اهداف عالی نظام برسند.محسنی اژه‌ای با بیان اینکه ما باید شرایط کشور را به خوبی درک و در عمل هم به یکدیگر کمک کنیم، گفت: سرمایه اصلی ما مردم هستند و اگر سه قوه از این سرمایه استفاده کنند، می‌توانیم مشکلات کشور را حل و فصل کنیم. برخی از مشکلات ناشی از سوء مدیریت ما است، البته برخی از مشکلات هم از طریق دشمنان برای کشورمان ایجاد شده است.وی درباره نکاتی که نمایندگان مجلس در این باره مطرح کردند، گفت: درباره برخی از موضوعاتی که طرح کردید، ما خلاء قانونی داریم و باید دست به دست هم دهیم تا مشکلات قانونی مرتفع شود. همچنین زمانی که لوایح به مجلس ارائه می‌شود، باید پیش از بررسی در صحن علنی مجلس، جلسات مشترک برگزار شود و با تشریک مساعی و همکاری با یکدیگر کاری کنیم که در صحن مجلس لوایح دچار تغییرات اساسی و فوق‌العاده نشود و به گونه‌ای باشد که این لوایح سریعتر به نتیجه برسد.رئیس قوه قضائیه با بیان اینکه هر ترک فعلی جرم نیست گفت: این امور قانون می خواهد. قوه قضائیه باید دستگاهی باشد که بیش از همه به قانون احترام می گذارد. اگر به قانون پایبند نباشیم هر کسی به سلیقه خود عمل می کند و مشکل ایجاد می‌شود.محسنی اژه‌ای گفت: تا امروز ۹ نشست با نمایندگان داشته ام. همه تلاش ما برای پیدا کردن راهکارهای مشترک بوده است.وی در بخش دیگری از اظهارات خود تصریح کرد: ۲۹۰ نماینده در تمام نقاط کشورحضور دارند که نزدیکترین افراد به مردم هستند و از جزئیات مشکلات و زندگی مردم مطلع هستند. چه کسی از نمایندگان مجلس دردآشناتر به مردم است. نمایندگان مشکلات مردم را می دانند و برای حل آن، قانون پیش بینی کرده، نظارت و برای اجرای پیگیری می کنند.رئیس قوه قضائیه با بیان اینکه باید از فرصت خدمت استفاده کنیم، گفت: اگر از این فرصت استفاده نکنیم باید در پیشگاه خداوند، ملت و حتی وجدان خود پاسخگو باشیم. امروز نمایندگان محترم بیش از من برای قوه دلسوزی می کنند. این بی سابقه و کم سابقه است. باید از این فرصت استفاده کرد.محسنی اژه‌ای با اشاره به اولویت های قوه قضائیه، گفت: این اولویت ها نیاز به عِده و عُده دارد. کوتاه کردن فرایندهای دادرسی از اهداف ما است. بیش از ۲ هزارعنوان مجرمانه وجود دارد. اگر این عناوین مجرمانه افزایش یابد پرونده های قضایی روز به روز افزایش می یابد.وی با بیان اینکه می خواهیم در این خصوص لایحه ای به مجلس ارائه کنیم، افزود: خواهش می کنیم جرم انگاری ها کاهش یابد. قوه قضائیه و قوه مقننه موظف به کاهش جرم انگاری بودند. می خواهیم رسیدگی به پروندها، عالمانه، عادلانه و دقیق باشد.رئیس قوه قضائیه گفت: ما به نیروهای متخصص نیاز داریم تا بتوانیم با فراغ بال و عالمانه و متخصصانه عمل کنیم. بعضاً می بینیم که کارمندان در یک اتاق کوچک کار می کنند و حتی جای حرکت هم وجود ندارد و ارباب رجوع هم در یک فضای بسته پشت سر هم می آیند و باید این فضاها تغییر کند.محسنی اژه‌ای بیان کرد: همچنین حقوق برخی از کارمندان اداری بسیار کم است، به گونه ای که یکی از کارمندان به بنده گفت با اقساطی که پرداخت می کنم، در انتها فقط یک میلیون تومان برایم باقی می ماند و با این شرایط مردم چگونه می توانند زندگی کنند.وی افزود: امروز قوه قضائیه به دنبال آن است که هزینه کمتری به مردم وارد شود و یکی از راه های کاهش هزینه آن است که رسیدگی الکترونیکی را توسعه دهیم که در بودجه امسال برای بخش فناوری قوه قضائیه هزار میلیارد در نظر گرفته شد.رئیس قوه قضائیه تصریح کرد: علاوه بر این قرار بود ۴۰۰ میلیارد تومان برای سند تحول که ما خود را ملزم به آن می دانیم، اختصاص پیدا کند اما حتی یک ریال هم به ما داده نشد. ما به دنبال این هستیم که برای اقشار ضعیف جامعه کاری کنیم که به حق و حقوق خود برسند اما این مسئله نیاز به بودجه دارد و با این امکانات کم امکان انجام بسیاری از کارها نیست.محسنی اژه‌ای گفت: پیشنهاد دادیم بودجه قوه قضائیه، ۵ درصد از بودجه عمومی باشد که این پیشنهاد با موافقت مواجه نشد و در نهایت قرار شد که ۲.۹ درصد از بودجه عمومی کشور به قوه قضائیه تخصیص داده شود که لازم است کل این بودجه ای که برای قوه قضائیه در نظر گرفته شده است، به ما تخصیص داده شود.کد خبر 5362935
36,به گزارش خبرگزاری فارس از اصفهان؛ از صبح امروز همزمان با اتمام تجمع کشاورزان که در اعتراض به بی‌آبی حدود ۱۶ روز در بستر زاینده رود حضور داشتند، عده‌ای دیگری که گفته می‌شود از کشاورزان نیستند وارد صحنه اعتراضات شدند.نوع این اعتراضات متفاوت از تجمع آرام روزهای گذشته بود به نحوی که در مواردی روشن کردن آتش در معابر اطراف، سنگ پرانی به پلیس و آتش زدن اموال عمومی توسط این افراد دیده می شود.نیروی انتظامی در مواجهه با این افراد اقدام به  شلیک گاز اشک آور کرده است و تلاش می‌کند مانع از بی نظمی و ناامنی شود.خبرها حاکی‌است در میدان بزرگمهر، خواجو و خیابان‌های اطراف برخی افراد با پرتاب سنگ به سمت نیروی نظامی در حال تخریب اموال عمومی هستند.عده‌ای با حمله به یک آمبولانس  شیشه‌های آن را شکستند. یک موتور پلیس را به آتش کشیده شد و با آتش زدن درختان در اطراف پل فردوسی و سی‌وسه پل فضای رعب و‌ وحشت برای عابرین ایجاد شده است.خبرنگاران فارس گزارش می دهند که شعارهای واضحی از سوی معترضین شنیده نمی‌شود اگرچه در برابر اقدامات پلیس فحاشی‌های پراکنده ای صورت می‌گیرد.این افراد در دسته های ۴۰ و ۵۰ نفره در خیابان‌های اطراف پل خواجو حضور دارند و تعدادشان در حال حاضر حدود ۳۰۰ نفر برآورد می‌شود.انتهای پیام/ی
37,محسن حمزه لو در گفتگو با خبرنگار مهر در خصوص آخرین وضعیت جاده سرچم – میاندوآب اظهار کرد: طرح محور سرچم- میاندوآب به طول ۱۸۱ کیلومتر در پنج قطعه در حال ساخت قرار دارد که قطعات یک و پنج آن به اتمام رسیده و قطعه یک تحویل موقت شده و قطعه پنج نیز که در محدوده آذربایجان‌شرقی واقع شده به طور قطعی مورد استفاده قرار گرفته است.وی با بیان اینکه ۶۵ کیلومتر از این محور در محدوده راه‌های آذربایجان‌غربی قرار دارد، خاطرنشان کرد: قطعه اول این محور تکمیل شده و قطعه دوم ٧۶ درصد پیشرفت اجرایی دارد که روند اجرای آن از سال گذشته تسریع یافته است.حمزه لو اضافه کرد: محور سرچم- میاندوآب از محورهای مهم کریدور شرقی - غربی در شمال‌غرب کشور است که این شهرستان را به سمت میانه و شمال کشور متصل می‌کند.مدیرکل راه و شهرسازی آذربایجان غربی با اشاره به اینکه جاده سرچم – میاندوآب از طرح‌های قدیمی راه و شهرسازی است، گفت: این طرح از سمت استان آذربایجان غربی رو به اتمام بوده و بهره برداری کامل آن منوط به اتمام طرح در بخش آذربایجان شرقی است.حمزه لو در ادامه خاطرنشان کرد: کمربندی میاندوآب به طول ١١ کیلومتر به ارزش یک هزار و ٨٠٠ میلیارد ریال احداث می‌شود و تکمیل آن برای ساماندهی ورودی و خروجی شهر میاندوآب حیاتی است.مدیرکل راه و شهرسازی آذربایجان غربی گفت: اتصال کریدور بزرگراهی غرب به کریدور شرقی - غربی کشور، کاهش ١۵٠ کیلومتری مسافت جنوب استان با مرکز کشور، رونق اقتصادی در بخش‌های کشاورزی و معدن و صرفه‌جویی در مصرف انرژی و تأمین ایمنی شبکه حمل‌ونقل از جمله مزایای تکمیل احداث محور میاندوآب - سرچم است.وی یادآور شد: با بهره‌برداری کامل از این طرح، رفت و آمد مسافران از آزاد راه زنجان تبریز به غرب و شمال غرب کشور و برعکس، بسیار راحت‌تر از گذشته خواهد شد و کاهش زمان سفر جاده‌ای و آسان‌تر شدن رفت و آمد مسافران به مرکز کشور از طریق جاده میاندوآب در آذربایجان‌غربی به سرچم در آذربایجان‌شرقی از اهداف اجرای این طرح است.محور سرچم- میاندوآب از محورهای مهم کریدور شرقی - غربی در شمال‌غرب کشور است که این شهرستان را به سمت میانه و شمال کشور متصل می‌کند.کاهش ۶۵ کیلومتری مسافت از میاندوآب تا مرکز کشور و همچنین کاهش تصادفات جاده‌ای از نتایج مثبت احداث این جاده است و با بهره‌برداری از آن، تحولی در توسعه منطقه و رونق اقتصادی در بخش‌های روستایی و معدنی فراهم می‌شود.کد خبر 5363327
41,بیژن ذوالفقار نسب در گفتگو با خبرنگار مهر، با اشاره به عدم انتخاب هیأت مدیره باشگاه پرسپولیس گفت: وقت بسیار زیادی برای این موضوع از سوی وزارت ورزش گذاشته شده است تا هیأت مدیره‌ای کارآمد برای باشگاه پرسپولیس نیز تعیین شود. قبول دارم این موضوع با تأخیر همراه شده است اما تمام تلاش ارکان اجرایی وزارت روی این موضوع است که هیأت مدیره کار آمد بتواند مشکلات را حل کند نه اینکه بخواهد بدهی سر سام آور به جای بگذارد.مشاور وزیر ورزش و جوانان با اشاره به حل نشدن مشکل پرداخت طلب گابریل کالدرون تاکید کرد: وقتی جزئیات قرارداد و رفتاری که با او شد را خواندم شوکه شدم. قراردادی که اینگونه پرسپولیس را به دردسر انداخت و برای حل آن هزاران راهکار در نظر گرفته شده است.وی بدون اشاره به اسم مدیرعامل پیشین پرسپولیس در دوران مربیگری کالدرون تاکید کرد: من واقعا نمی‌دانم چرا کسانی که خود را پرسپولیسی اصیل می‌دانند با رفتارهای مدیریتی خود کاری می‌کنند که هوادار حرص و جوش بخورد.ذوالفقار نسب راجع به حاشیه‌های به وجود آمده با توجه به صحبت‌های حمید سجادی وزیر ورزش نسبت به دیدگاه یحیی گل محمدی در خصوص انتخاب هیأت مدیره باشگاه تصریح کرد: من در جریان جزئیات این مصاحبه‌ها نیستم. تنها نکته‌ای که به آن اطمینان دارم احترام ویژه آقای سجادی وزیر ورزش به یحیی گل محمدی است.او ادامه داد: بدون شک انتخاب مدیریت برای کی مجموعه می‌تواند راهگشا باشد اما متأسفانه برخی‌ها می‌خواهند با استفاده از فضای مسموم نسبت به افراد موضع‌گیری کنند. قطعا عملکرد مربیان هر دو تیم استقلال و پرسپولیس برای هواداران دو تیم قابل احترام است و این مهم‌ترین موضوع برای هر دو باشگاه باید باشد. با این حال افرادی هستند که می‌خواهند مشکل تراشی کنند و واقعیت‌های موجود را بیان نکنند.ذوالفقار نسب در پایان خاطرنشان کرد: فوتبال باشگاهی ایران نشان داده است تفاوت فاحشی با تیم‌های درجه دوم و سوم آسیا دارد. موفقیت‌هایی که در سال‌های اخیر بخصوص پرسپولیس در رقابت‌های لیگ قهرمانان آسیا کسب شده است که نشان می‌دهد رسیدن به قله افتخارات در این بازی‌ها چندان دور از دسترس نیست.کد خبر 5362671
42,عربستان ورود زائران خانه خدا از 18 کشور جهان را ممنوع کردبه گزارش خبرنگار حج و زیارت خبرگزاری فارس، با شیوع سویه جدید کرونا و احتمال ورود آن به خاورمیانه، عربستان پروازهای خود را به برخی از کشورها ممنوع کرد.مسؤولان سعودی اعلام کردند که به منظور جلوگیری از شیوع سویه جدید کرونا در این کشور، از ورود زائران خانه خدا از ۱۸ کشور معذور هستند؛ به طوری که از امروز سفر به این کشورها ممنوع است و زائران این کشورها هم امکان سفر به عربستان را ندارند.بر همین اساس، از امروز زائران کشورهایی همچون لبنان، ترکیه، افغانستان، مالاوی، زامبیا، ماداگاسکار، آنگولا، سیشل، موریس، کومور، آفریقای جنوبی، نامیبیا، بوتسوانا، زیمبابوه، موزامبیک، لسوتو، اسواتینی و اتیوپی حتی در صورت تزریق واکسن و رعایت نکات بهداشتی اجازه ورود به عربستان و تشرف به خانه خدا را ندارند.علاوه بر این، عربستان در جدیدترین جلسات خود با ابراز نگرانی از احتمال شیوع سویه جدید ویروس کرونا در منطقه و این کشور، تصمیم‌گیری برای حج تمتع ۱۴۴۳ را به ماه‌های نزدیک به ایام حج موکول کرده است.به گزارش فارس، از حدود چهار ماه گذشته سعودی‌ها با پذیرش زائران خارجی با  شروطی همچون تزریق واکسن موافقت کرده بودند که با توجه به سویه جدید کرونا، احتمال افزایش زوار کشورهایی که ورود به عربستان برای آنها ممنوع است، وجود دارد.
